product_id,price,retail_price,rating,title,title_orig,product_color,countries_shipped_to,additional_information,origin_country_id
567cb0925ff12c4829f07dfb,7.0,22,3.82,Femmes dentelle manches courtes hauts hauts chemisier chemise dames plage BOHO mini robe 6-16,Women Lace Short Sleeve Long Tops Blouse Shirt Ladies Beach BOHO Mini Dress 6-16,Unknown,46,"blouse,Fashion,Shirt,boho,Tops,summer t-shirts,short sleeves,Mini dress,lace blouse,Women's Fashion,Shorts,Ladies,Short Sleeved,Polyester Shirt,Beach,Women",2
572981a997dc5f5d3c5f0651,11.0,18,4.14,Femmes Chemisier d'été Chemise Sexy Floral Chemise ample Cardigan Kimono Cardigan Casual Jacket Tops,Womens Summer Blouse Sexy Floral Shirt Loose Kimono Cardigan Casual Jacket Tops,pink,46,"blouse,Summer,Fashion,Tops,kimono,Casual,Jacket,cardigan,Floral,sexy,summer tops",2
5b07a7c6e997b33c6f9947da,5.0,25,3.83,2018 New Fashion Women's Tops Sexy Strappy Sleeveless Dentelle sans manches Crop Cops,2018 New Fashion Women's Tops Sexy Strappy Sleeveless Lace Crop Tops,white,41,"blouse,Plus Size,Lace,lace top,Tops,Fashion,strappy,sexy,sleeveless,summer tops,Women Fashion",2
5e9692898a10221b310986c9,8.0,7,3.52,Femmes Mode Couleur Unie Sexy Col En V Tops Crop Slim Fit D'été À Manches Courtes Débardeur T-shirts,Women Fashion Solid Color Sexy V-neck Crop Tops Slim Fit Summer Short Sleeve Tank Top T Shirts,pink,41,"Summer,Fashion,crop top,Shirt,Sleeve,Tank,Tops,slim,short sleeves,V-neck,T Shirts,Shorts,tank top,solid color,sexy,Women,Women's Fashion,Casual,Women Fashion,Slim Fit",2
5cece16810467a5f254abaa9,14.0,37,3.85,Nouveau Summer Women's Fashion Bikini Set couleur unie deux pièces Maillot de bain taille haute Maillot de bain sexy sans dos Vêtements de plage,New Summer Women 's Fashion Bikini Set Solid Color Two Pieces Swimsuit High waist Sexy Backless Bathing Suit Beach Wear,orange,41,"bathing suit,Fashion,Summer,sexy bikini,beach wear,high waist,women swimwear,high waist bikini,Summer Fashion,sexy,Swimsuit,Women,Waist,women swimsuit,Beach,Swimwear,Two piece set,Bikini,backless,Suits,Women's Fashion,Swimming",2
5c9042bd4d78254c392d449a,8.0,43,4.0,Femme 2019 nouvelle mode sexe débardeurs été décontracté solide couleur Silm Fit filles hauts sans manches,Woman 2019 New Fashion Sex Tank Tops Summer Casual Solid Color Silm Fit Girls Sleeveless Tops,black,41,"Summer,woman fashion,casualshirtforwomen,Woman clothes,summer tank top,Tank,Tops,Slim Fit,woman top,sextop,sleeveless tops,sleeveless,Girls Clothes,Fashion tank top,Fashion,Casual",2
5b3f3a9205dff81785dba8e6,3.81,59,3.74,Women's Fashion Fitness Gilet de fitness pour dames Débardeur solide Débardeur pour dames Gilet sans manches Gilet d'été pour femmes Gilet de course sport sexy pour femmes,Women's Fashion Fitness Vest Ladies Solid Tank Top Female Crop Top Sleeveless Waistcoat Summer Women Tops Sexy Sport Running Vests,winered,41,"Summer,Vest,Fashion,Waist Coat,Fitness,Tank,Tops,sportvest,tank top,fitnessvest,Running,Ladies,Women's Fashion,Sport,sexy,solid color,crop top,women top,summer tops,sleeveless,Women",2
54bdf18039b8c045f118936a,8.0,7,3.76,Nouveau Aeeival Femmes Vêtements À Manches Longues Automne Hiver Robe De Bal Robe Slim Fit Patchwork Casual Dentelle Robe Robe De Renda,New Aeeival Women Clothing Long Sleeve Autumn Winter Ball Gown Dress Slim Fit Patchwork Casual Lace Dress Vestido De Renda,light green,38,"roupas femininas,womens dresses,Lace,gowns,Long Sleeve,Dress,dress slim,Women's Fashion,Party Dress,chiffiondres,vestidoderenda,Clothing,Casual,Slim Fit,Winter,Sleeve,robefemme,Lace Dress,slim,ball gown,women dress,Women,Fashion",2
5e8d70549f1504449514c8b9,8.0,9,5.0,Mode d'été Tie-Dye manches courtes robe longue lâche col en V BOHO Maxi Dress,Summer Fashion Tie-Dye Short Sleeve Long Dress Loose V Neck BOHO Maxi Dress,orange,38,"Summer,summer dress,Necks,Sleeve,long dress,plus size dress,Dress,Loose,V Neckdress,short sleeves,maxi dress,Shorts,boho,short sleeve dress,boho dress,Fashion,womendre,women dress,Women's Fashion",2
571adeab62cce546f1a46bc0,5.67,19,3.53,Nouvelle arrivée femmes été sexy robe de soirée élégante sans manches col roulé mini robe,Women's Summer Sexy Sleeveless Turtleneck Mini Dress,grey,37,"slim dress,Mini,Elegant,Dress,Mini dress,turtleneck,Women's Fashion,Party Dress,Summer,party,Sleeveless dress,Elegant Dress,women dress,sexy,Clothing,sleeveless,Women",2
53897eeeafddf70c91af1cda,5.0,33,3.98,T-shirt à manches courtes en mousseline de soie rouge et blanc d'été pour femme,Womens Summer Red White and Blue Chiffon Short-Sleeve T-Shirt,orange,41,"Summer,Plus Size,Cotton T Shirt,chiffon,Long Sleeve,womens top,short sleeves,Women's Fashion,Fashion,chiffon blouse,sexy,blouse,Tops,Chiffon Shirt,T Shirts,korean style,Women Clothing,T-Shirt womens,Short Sleeve T-Shirt",2
544b079d1280fa28eee9b380,5.77,48,4.1,Femmes Camisole extensible Spaghetti Strap Long Débardeur Slip Mini Dress 4Color SIZE XXL est disponible maintenant,Women Stretchy Camisole Spaghetti Strap Long Tank Top Slip Mini Dress 4Color SIZE XXL is available Now ,black,46,"Mini,Strapless Dress,Spaghetti Strap,Tank,Tops,slim,tank top,Mini dress,Women's Fashion,Fashion,Women,Dress,sleevelessdresse,bodycon,Spaghetti,Casual,casual dress",2
5cc2ce18bc97595b6549fa14,2.0,2,3.65,2019 Summer Women's Fashion Nouvelle robe sans manches à pois à encolure en V et à bretelles en V sans dos Mini robes casual casual top,2019 Summer Women's Fashion New Sleeveless Polka Dot V-neck Strap Mini Backless Casual Top Dresses,yellow,36,"Summer,Fashion,Mini,Dress,Loose,Polkas,V-neck,Tops,Women's Fashion,black,polka dot,sleeveless,backless,Casual,Women Fashion",2
5cc40501e824b607860ec588,12.0,11,3.64,2019 nouvelles femmes mode pantalon lâche taille haute neuvième pantalon pantalon décontracté,2019 New Women Fashion Loose Pants High Waist Ninth Pant Casual Trousers,black,36,"Summer,trousers,high waist,pants,Loose,Women's Fashion,Fashion,black,Women,Casual,Women Fashion,Waist",2
5d4fb2a715168b6ba86ad354,5.0,5,3.74,Robe d'été à col rond pour femmes d'été Robe décontractée sans manches Robe imprimée à fleurs Robe fleurie,Summer Women Round Neck Dress Casual Sleeveless Dress Floral Printed Dress Slim Flower Dress,black & green,36,"Summer,dress slim,Fashion,neck dress,Necks,Dress,slim,Round neck,Women's Fashion,Sleeveless dress,Flowers,Floral,sleeveless,printed,Casual,Women",2
5cdfa97c034a3c0f3af1bfd1,11.0,10,3.76,2019 Nouvelle robe d'été à col en V à imprimé léopard et bordures de feuilles de lotus à col en V profond pour la mode féminine ,2019 New Women's Fashion Summer Casual Leopard-print Deep V-Neck Lotus Leaf Edge Dress ,white,36,"Deep V-Neck,Summer,Fashion,leaf,short dress,leopard print,Dress,V-neck,Women's Fashion,Lotus,Casual,Women",2
5ca084765e18c31890903f2a,3.92,4,3.76,2019 Mode d'été pour dames - Pantalon à lacets à lacets - Pantalon court à taille haute décontractée - Taille décontractée (S-5XL),2019 Summer Women‘s’ Fashion  Lace Up Tie Pants  Plus Size Casual High Waist Short Pants(S-5XL),black,36,"Summer,Plus Size,high waist,pants,Waist,Short pants,Yellow,Shorts,Women's Fashion,Fashion,Lace Up,Lace,Casual,Women",2
5cda2dc154645202d0458a14,9.0,8,4.41,2019 Women Fashion Casual Jupes courtes fleuries décontractées Jupe de plage plissée taille haute d'été à taille haute,2019 Women Fashion Casual Floral Short Skirts Summer High Waist Pleated Beach Skirt,lightyellow,36,"Summer,Shorts,high waist,Skirts,Pleated,Casual,Women's Fashion,Fashion,floral skirt,Floral,Women,Beach,short skirt,Women Fashion,Waist",2
586f25ca9365e96fd0d1c09f,2.71,3,4.03,Veste dos nu Veste dos nu Camisole décontractée Chemise courte Femme Top Femme Débardeur D'été Tops ,Summer Crop Top Women Tank Tops Halter Vest Casual Camisole Croped Shirt Women Tops ,grey,38,"Summer,Vest,Fashion,Tank,camisole,Halter,Tops,crops,Women's Fashion,tank top,Ladies,sexy,Women,Casual,Shirt",2
590c2cf4ff4b3e7b335e6a7e,2.0,3,4.09,Sexy Femmes Casual Slim Sans Manches Débardeur Cami Gilet Blouse Crop Top Fitness Gilet,Sexy Womens Casual Slim Sleeveless Tank Cami Vest Blouse Crop Top Fitness Vest,white,38,"blouse,Vest,Shorts,Tank,Shirt,Halter,Fitness,Tops,slim,Necks,Cami,sleeveless,crop top,Casual,Women",2
5cd3e833034a3c2ceeed0ba9,6.0,6,3.93,Femmes dentelle Boho Bikini Cover Up Cardigan Blouse Long Sunscreen Blouse,Women Lace Boho Bikini Cover Up Cardigan Blouse Long Sunscreen Blouse,black,38,"beachcardigan,Lace,cardigan,summer dress,Cover,beach wear,Sunscreen,Bikini,boho,beach dress,Fashion,Women,Bikini Cover-Up,Women's Fashion,Cover Ups,kimono",2
587dc542c334b3508f79d68b,3.0,3,3.81,Women Fashion Sexy Sleeveless Crop Cops en tricot sans manches Sexy,Women Fashion Sexy Sleeveless Knit Crop Tops,wine red,38,"corset top,Fashion,crop top,camisole,knittop,Tops,tank top,Women's Fashion,sexy,sleeveless,knit,fashionwomencroptop,Women",2
552f840fcea30816e52aabcf,7.0,13,3.35,Fashion Women Back Deep V V Sexy Gilet sans dos Sexy Débardeur sans manches Slim T-shirt femme haut slim,Fashion Women Back Deep V Sexy Backless Vest Tank Sleeveless Slim Tops womens Tshirt,gray,40,"Vest,womens top,Tank,Tops,slim,T Shirts,Womens T Shirts,Women's Fashion,Fashion,backless,sexy,sleeveless,womens vest,Women",6
57ccc65975aea72c65411bc6,9.0,26,3.78,Débardeurs sans bretelles sans manches pour femmes Bandeau Stretch Côtelé Stretch Débardeurs,Womens Sleeveless Strapless Tube Tops Bandeau Stretch Ribbed Layering Tank Tops,black,40,"Summer,strapless,Tank,Tops,Women's Fashion,tank top,beachvest,off shoulder,sleeveless,women top,backless,Strapless Top",6
5801bf9ef22bef78458987d8,5.67,5,3.63,Nouveau Sexy Femmes Bandage Découpé Débardeurs Dames D'été Bustier Crop Tops Une Taille,New Sexy Women Bandage Cut Out Tank Tops Ladies Summer Bustier Crop Tops One Size,white,40,"Summer,sportytankini,crop top,Tank,Tops,tank top,tank tops women,sportcroptop,Women's Fashion,Bustier,Ladies,sexy,Women,Casual,Bandages",6
5cf5e44b3c8b9e101a5db52c,11.0,10,4.07,NOUVELLE Robe d'été sans manches imprimée à fleurs pour femmes Robe sans manches à col en V sans manches pour l'été Robe sans dos ,NEW Women Summer Floral Printed  Sleeveless Dress Sling Dress V-neck Backless Dress ,floral,35,"Sleeveless dress,Summer,Dresses,Dress,slingdre,Floral dress,Women's Fashion,Party Dress,backless,V-neck,bohemian dress,Floral,summer dresses,printed,Women,sleeveless,casual dress",2
5d15ae82502b2660ec498f59,8.0,7,3.71,NOUVELLES Été Femmes Profonde V-cou Hauts Pure Color T-shirt Dames Mode Casual Débardeurs Débardeur En Vrac Boutonnage Blouse Lady Sans Manches Chemises Plus Taille Top,NEW Womens Summer Deep V-neck Tops Pure Color T-shirt Ladies Fashion Casual Tank Tops Loose Button-up Blouse Lady Sleeveless Shirts Plus Size Top,dustypink,35,"Summer,Plus Size,Deep V-Neck,topsamptshirt,tank top,Women's Fashion,Fashion,V-neck,Loose,topsampblouse,Causal,Ladies Fashion,blouse,fashion women,Tank,Shirt,Tops,T Shirts,Casual,Ladies,sleeveless,Pure Color,sleeveless tops",2
5cfcdd42b3fdc841c21ff904,11.0,10,3.7,"NOUVELLE femme col rond numérique fleur imprimé robe sans manches, plus la taille mini robe S-5XL",NEW Women's Round Neck Digital Flower Printed Dress Sleeveless Plus Size Mini Dress S-5XL,purple,35,"Mini,Plus Size,Necks,Dresses,Dress,summer dress,Mini dress,Round neck,Round Collar,Women's Fashion,Flowers,printed,sleeveless,sleevelessdresse,casual dress",2
5cf0a87f2202a759d6ddb369,6.0,6,3.97,NOUVELLES femmes décontracté hors épaule dentelle col chemisier lâche couleur unie T-shirt grande taille,NEW Women Casual Off Shoulder Lace Collar Blouse Loose Solid Color T Shirt Plus Size,skyblue,35,"blouse,Summer,Plus Size,off the shoulder top,Lace,topsamptshirt,Collar,Women's Fashion,Fashion,Loose,topsampblouse,Women,Casual,Shirt",2
