index,merchant_id,listed_products,total_units_sold,mean_units_sold_per_product,rating_per_merchant_products,mean_product_prices,mean_retail_prices,average_discount,revenues
0,5357bcf2bb72c5504882e889,2,120000,60000.0,4.219,9.0,20.0,54.0,1080000.0
1,5708773c3c02161b3f8c7900,5,107100,21420.0,3.934,7.76,34.2,61.0,831096.0
2,5417aada4ad3ab27e954b76c,2,100007,50004.0,4.053,8.0,8.0,1.0,800056.0
3,570f3a713a698c14278bb51e,1,100000,100000.0,3.889,5.67,19.0,71.0,567000.0
4,53082ea15aefb07dfe1f2a4f,1,100000,100000.0,4.036,5.0,33.0,85.0,500000.0
5,53f2beb39020ee03566d6e18,1,100000,100000.0,4.067,5.77,48.0,88.0,577000.0
6,5926c5ace8ff5525241b368d,7,96000,13714.0,4.139,6.69,6.29,4.0,642240.0
7,5860c757b1e41d4d67d183e8,4,90100,22525.0,4.049,3.43,3.75,11.0,309043.0
8,52bd3ddb34067e4620a4c62d,3,80000,26667.0,4.104,7.22,14.67,33.0,577600.0
9,5a7b23a69bda4e3d375e7b3f,5,80000,16000.0,3.966,8.4,7.8,7.0,672000.0
10,53a2a09ad91139519161a267,3,75000,25000.0,4.256,13.33,100.33,86.0,999750.0
11,539937d634067e06707b1a8e,4,71100,17775.0,3.968,11.5,86.25,87.0,817650.0
12,58ad449708de0c6dc59d9e06,6,63100,10517.0,4.147,3.61,3.33,4.0,227791.0
13,56e43d9e3a698c3826a5feff,3,61000,20333.0,4.179,8.67,8.0,8.0,528870.0
14,53aa664438d3046ee44a5024,4,60100,15025.0,4.128,12.5,83.0,86.0,751250.0
15,53facca81c105e3d5866e212,3,60000,20000.0,4.157,9.0,114.0,58.0,540000.0
16,5384613a796f680f9d78a127,3,60000,20000.0,4.387,16.33,14.33,14.0,979799.9999999999
17,558c2cdc89d53c4005ea2920,15,58500,3900.0,3.885,4.18,4.13,1.0,244529.99999999997
18,55c8a4c33a698c6010edcd9e,6,55200,9200.0,4.121,5.39,5.17,3.0,297528.0
19,58106cfce516491e6e5f1e53,2,55000,27500.0,4.156,5.5,5.0,8.0,302500.0
20,5acaf29d5ebcfd72403106a8,12,54300,4525.0,4.045,5.56,5.17,4.0,301908.0
21,54af9c1428565a151043b6bf,3,50000,16667.0,4.038,8.0,7.33,9.0,400000.0
22,557ed5b886d66519ff242099,4,50000,12500.0,4.154,7.12,6.5,9.0,356000.0
23,57568f454054c95cbd8d1619,1,50000,50000.0,3.84,8.0,54.0,86.0,400000.0
24,5652f4053a698c76dc9a3f37,1,50000,50000.0,4.077,7.0,6.0,16.0,350000.0
25,5542fcb264b4f014ce88ecae,1,50000,50000.0,4.095,4.0,6.0,34.0,200000.0
26,58ad356108de0c6dc39d979d,1,50000,50000.0,4.095,5.0,5.0,0.0,250000.0
27,544867549719cd33de1048d5,1,50000,50000.0,4.096,5.7,58.0,91.0,285000.0
28,54bcaabb39b8c00b482a115f,1,50000,50000.0,4.105,9.0,81.0,89.0,450000.0
29,58c0fff96ecaa3523d59a24d,1,50000,50000.0,4.165,2.0,2.0,0.0,100000.0
30,572d45c708fad86678ca1938,1,50000,50000.0,4.216,4.66,11.0,58.0,233000.0
31,570b67d4a9dc12590be93b79,1,50000,50000.0,4.228,6.0,6.0,0.0,300000.0
32,57e5db02e7f40f131adeeaf8,1,50000,50000.0,4.302,9.0,8.0,12.0,450000.0
33,5639cd9bddb94f103070ef9f,6,46000,7667.0,3.968,8.5,41.83,67.0,391000.0
34,5533c83986ff95173dc017d0,8,43100,5388.0,4.081,8.25,7.63,8.0,355575.0
35,58fdedf645f9b210f58c00cc,4,41100,10275.0,4.08,7.47,20.25,17.0,307017.0
36,578866243a698c1713f2d19c,3,41000,13667.0,4.284,5.33,5.0,5.0,218530.0
37,55c8029641d799421d41fe3a,4,41000,10250.0,3.802,7.0,8.75,17.0,287000.0
38,5c51b9b468178729c4213657,4,40000,10000.0,4.109,6.68,6.25,3.0,267200.0
39,576bbb443a698c085103c010,2,40000,20000.0,4.105,9.5,34.0,73.0,380000.0
40,53db691bd911395c8b2f92be,2,40000,20000.0,4.137,11.0,14.0,22.0,440000.0
41,5760bd976238335e38551943,2,40000,20000.0,4.168,8.0,7.0,14.0,320000.0
42,564d8a9ac0f55a1276cd96f8,8,36100,4513.0,4.106,6.55,23.75,46.0,236455.0
43,566012f6769a5629aefca555,5,32000,6400.0,4.066,10.8,23.8,7.0,345600.0
44,57b03628c676b3573ba2a081,6,31206,5201.0,4.05,7.67,16.83,39.0,239350.02
45,559d33adc605853731afbf10,4,31000,7750.0,4.0,9.5,8.5,12.0,294500.0
46,58330d7def56284f7634e5e5,3,30000,10000.0,3.936,11.0,10.0,10.0,330000.0
47,56dce88d21396a16a47eff39,3,30000,10000.0,4.188,8.0,84.0,91.0,240000.0
48,5705e40cfda6252c1a9db062,3,30000,10000.0,4.31,12.67,11.33,11.0,380100.0
49,5c74e493a0e25750b550e2a1,4,30000,7500.0,4.09,6.0,5.75,2.0,180000.0
50,594756ab53ebe27caad41157,2,30000,15000.0,3.903,8.5,22.0,55.0,255000.0
51,576cfeed007b536be4a9ae96,2,30000,15000.0,3.999,5.41,5.5,2.0,162300.0
52,583138b06339b410ab9663ec,9,28100,3122.0,4.007,9.58,17.78,18.0,269198.0
53,5c7893301bcc452c015b5de4,4,27000,6750.0,3.925,10.0,9.0,11.0,270000.0
54,5763e55cc6053f5e70522ad7,5,26100,5220.0,3.929,7.76,21.8,17.0,202536.0
55,5aa1f31308a2240a052e9a1a,4,26000,6500.0,3.872,10.0,8.75,14.0,260000.0
56,5cb636dda7173671aedef051,4,26000,6500.0,4.265,6.34,5.5,15.0,164840.0
57,5b160017daac45594728d9ba,6,25200,4200.0,3.909,7.83,7.17,8.0,197316.0
58,58d109c5e3830f6bcb47e35d,4,25100,6275.0,3.939,7.0,21.75,42.0,175700.0
59,5660e53e769a564b3e3aeca0,2,25000,12500.0,3.999,9.0,8.5,6.0,225000.0
60,5800a8bb50d8ab5aaee15f20,2,25000,12500.0,4.095,6.87,6.0,14.0,171750.0
61,55cc4e1d845591103477a561,4,22100,5525.0,3.872,12.75,40.5,69.0,281775.0
62,55ed5a3362e273427107759e,4,22100,5525.0,3.981,11.25,29.25,25.0,248625.0
63,5bd29797d32ed5241007af46,3,22000,7333.0,3.881,8.0,7.0,14.0,176000.0
64,5ba2251b4315d12ebce873fa,5,22000,4400.0,4.0,8.36,25.2,68.0,183920.0
65,56458aa03a698c35c9050988,6,21400,3567.0,3.9,5.68,10.33,38.0,121552.0
66,58131ddf6f55296033923a7c,4,21100,5275.0,4.201,13.25,93.0,86.0,279575.0
67,55769de4fa0be7249554bce2,2,21000,10500.0,3.998,8.5,7.5,13.0,178500.0
68,58b011e82e27bf506cee1ace,2,21000,10500.0,4.023,9.5,8.5,12.0,199500.0
69,53e03f56ff4d6d36d2285ab0,2,21000,10500.0,4.069,8.0,91.0,92.0,168000.0
70,59c8a909ae228e37ae159559,2,21000,10500.0,4.085,9.0,13.0,31.0,189000.0
71,556fc80f95528719e004fe8b,2,21000,10500.0,4.099,8.5,7.5,13.0,178500.0
72,563c5b3d05398a37780be2e2,2,21000,10500.0,4.19,11.5,106.0,90.0,241500.0
73,577fb2b368116418674befd9,5,20300,4060.0,4.138,5.61,5.2,3.0,113883.0
74,5ab3b592c3911a095ad5dadb,3,20200,6733.0,4.002,6.15,5.67,1.0,124230.0
75,56455b13b15aab129db58cb7,3,20200,6733.0,4.155,10.33,9.0,15.0,208666.0
76,5406c9c77f086e1be430d73e,5,20200,4040.0,4.204,9.2,9.0,3.0,185840.0
77,59b7d6e1eea5c510889ea754,3,20100,6700.0,3.874,7.67,18.0,58.0,154167.0
78,5b507899ab577736508a0782,3,20100,6700.0,4.225,6.33,40.67,42.0,127233.0
79,5810aa5bde5bf01b645c909e,2,20100,10050.0,3.919,3.38,3.5,4.0,67938.0
80,56c6f731bc435416ed5984d7,2,20100,10050.0,4.017,5.75,30.5,39.0,115575.0
81,5a018060448a526b450ddab8,2,20100,10050.0,4.153,7.5,7.0,6.0,150750.0
82,57864d704d669274929898fb,3,20020,6673.0,3.925,7.67,25.33,51.0,153553.4
83,584c23fbef56286074d2c9a6,3,20000,6667.0,3.732,6.6,5.67,16.0,132000.0
84,5b1522ab7b94e12ee3d455c9,3,20000,6667.0,3.85,6.59,5.67,16.0,131800.0
85,55e7e41e606d0a18fdfc67d1,3,20000,6667.0,4.268,10.0,9.0,11.0,200000.0
86,583e7f658108913bced6f8cf,3,20000,6667.0,4.29,9.0,8.0,13.0,180000.0
87,58216982dd9916453fe2d1a1,3,20000,6667.0,4.294,5.91,27.0,77.0,118200.0
88,5803772d4dcf7942d7280c39,1,20000,20000.0,3.915,14.0,12.0,16.0,280000.0
89,5a200757518c1c4b34845a1f,1,20000,20000.0,3.962,5.8,43.0,87.0,116000.0
90,537975ab71795104807b06b4,1,20000,20000.0,3.962,11.0,20.0,45.0,220000.0
91,5810a3d4a70e0356e24d3c6c,1,20000,20000.0,3.999,8.0,7.0,14.0,160000.0
92,5a72e56d9d5e975657c1460a,1,20000,20000.0,4.003,11.0,19.0,43.0,220000.0
93,598d8d1e2afd354f6ef9950d,1,20000,20000.0,4.007,9.0,50.0,82.0,180000.0
94,570b68b9e902df590e48d196,1,20000,20000.0,4.017,11.0,84.0,87.0,220000.0
95,56d813f66d64ff168ab1bfac,1,20000,20000.0,4.047,3.79,49.0,93.0,75800.0
96,57a995f564fa71286bac2109,1,20000,20000.0,4.064,7.0,11.0,37.0,140000.0
97,5368f053bb72c5150191a140,1,20000,20000.0,4.065,9.0,8.0,12.0,180000.0
98,5c80bd2ab1ad6a6fc52a7eb3,1,20000,20000.0,4.07,7.0,6.0,16.0,140000.0
99,59c0e0168696be51cef38e93,1,20000,20000.0,4.073,6.0,6.0,0.0,120000.0
100,59cdc2112351344fc0dfa54f,1,20000,20000.0,4.082,9.0,9.0,0.0,180000.0
101,55af776cc982de2775ba26d2,1,20000,20000.0,4.084,8.0,59.0,87.0,160000.0
102,555f4174a4efd10ea5ebaa5f,1,20000,20000.0,4.097,13.0,30.0,57.0,260000.0
103,59df389c88dd76239f03c701,1,20000,20000.0,4.097,22.0,19.0,15.0,440000.0
104,5756d060b833235cbc250227,1,20000,20000.0,4.097,13.0,252.0,95.0,260000.0
105,54869f80546ead6e5b318f5b,1,20000,20000.0,4.112,12.0,11.0,9.0,240000.0
106,5acf2091cd968d299afe79a3,1,20000,20000.0,4.114,6.0,6.0,0.0,120000.0
107,580dd6425250a21944205a36,1,20000,20000.0,4.119,5.87,5.0,17.0,117400.0
108,57aeb5fb5a4ac218de83b64d,1,20000,20000.0,4.13,8.0,7.0,14.0,160000.0
109,58b26eaa01c02f5114ac2ae9,1,20000,20000.0,4.147,8.0,7.0,14.0,160000.0
110,5c0232c1d9333c676958674e,1,20000,20000.0,4.165,7.0,6.0,16.0,140000.0
111,595b54fcd44a9b1180cb102b,1,20000,20000.0,4.168,9.0,36.0,75.0,180000.0
112,5b2620ddd1c360688799eb51,1,20000,20000.0,4.184,5.78,8.0,28.0,115600.0
113,58df45e5795cf052ae1c2142,1,20000,20000.0,4.196,5.66,5.0,13.0,113200.0
114,57820e33ea637711873c1618,1,20000,20000.0,4.196,3.65,4.0,9.0,73000.0
115,57edcd19252c15203b411d82,1,20000,20000.0,4.197,5.71,84.0,94.0,114200.0
116,58183b4ea642e03dc54eda6e,1,20000,20000.0,4.205,8.0,84.0,91.0,160000.0
117,542a670d4f66d92eba599455,1,20000,20000.0,4.209,8.0,7.0,14.0,160000.0
118,584fd5cbd67ff04c93c70560,1,20000,20000.0,4.26,5.0,5.0,0.0,100000.0
119,53208a086fa88c662a693514,1,20000,20000.0,4.288,13.0,11.0,18.0,260000.0
120,58be502223167e61443f4d92,1,20000,20000.0,4.292,11.0,10.0,10.0,220000.0
121,57875ba40cb30d38ba46f57d,1,20000,20000.0,4.31,11.0,37.0,71.0,220000.0
122,5487c9b1b9b7e705069489fb,1,20000,20000.0,4.319,5.88,9.0,35.0,117600.0
123,55e7ed3230a9764b0761fc82,1,20000,20000.0,4.321,2.65,3.0,12.0,53000.0
124,54898f4c223ebf1cd713fdc2,1,20000,20000.0,4.33,19.0,105.0,82.0,380000.0
125,57ff8c180fb8e31870c27d68,1,20000,20000.0,4.448,8.0,75.0,90.0,160000.0
126,54b8872d40b37856baa55e38,1,20000,20000.0,4.462,3.66,4.0,9.0,73200.0
127,5770ca6694fc5029d02c368a,2,20000,10000.0,3.901,8.0,7.0,14.0,160000.0
128,5810c46f02b01e15f8a10e38,2,20000,10000.0,3.938,5.93,5.5,8.0,118600.0
129,561dc58d1f1ffb54d008b82f,2,20000,10000.0,4.144,7.0,12.0,26.0,140000.0
130,591c4e7f1a071f13df7a63ff,2,20000,10000.0,4.168,8.0,140.0,95.0,160000.0
131,53e442474497c57e900d7c64,2,20000,10000.0,4.194,8.0,16.0,50.0,160000.0
132,54125ab34ad3ab158c0f72d9,2,20000,10000.0,4.236,11.0,10.0,10.0,220000.0
133,570d017b1b4ca758e18e407d,2,20000,10000.0,4.244,8.0,7.0,14.0,160000.0
134,5826f19f20a9402c37313979,2,20000,10000.0,4.307,9.0,10.0,10.0,180000.0
135,582833faea77701b456c786a,8,17400,2175.0,3.868,5.45,5.38,0.0,94830.0
136,59aaa4d39fbc514dc80328e3,4,17000,4250.0,3.899,10.0,17.5,27.0,170000.0
137,5b14d31d7e43f22f255ea98c,3,16000,5333.0,4.19,3.83,38.0,89.0,61280.0
